filename,condition,sample_name,biorep,histone
processed_liver_3mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_3mo,liver_3mo_2,2,H3.2
processed_liver_3mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_3mo,liver_3mo_2,2,H3.3
processed_liver_3mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_3mo,liver_3mo_3,3,H3.2
processed_liver_3mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_3mo,liver_3mo_3,3,H3.3
processed_liver_3mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_3mo,liver_3mo_4,4,H3.2
processed_liver_3mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_3mo,liver_3mo_4,4,H3.3
processed_liver_5mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_5mo,liver_5mo_1,1,H3.2
processed_liver_5mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_5mo,liver_5mo_1,1,H3.3
processed_liver_5mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_5mo,liver_5mo_2,2,H3.2
processed_liver_5mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_5mo,liver_5mo_2,2,H3.3
processed_liver_5mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_5mo,liver_5mo_3,3,H3.2
processed_liver_5mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_5mo,liver_5mo_3,3,H3.3
processed_liver_5mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_5mo,liver_5mo_4,4,H3.2
processed_liver_5mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_5mo,liver_5mo_4,4,H3.3
processed_liver_10mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_10mo,liver_10mo_1,1,H3.2
processed_liver_10mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_10mo,liver_10mo_1,1,H3.3
processed_liver_10mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_10mo,liver_10mo_2,2,H3.2
processed_liver_10mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_10mo,liver_10mo_2,2,H3.3
processed_liver_10mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,liver_10mo,liver_10mo_3,3,H3.2
processed_liver_10mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,liver_10mo,liver_10mo_3,3,H3.3
